Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Akio Nitori,5.2,Japan,home furnishings,539,77,"Hokkaido, Japan",Japan,Married,,,True
Gary Rollins,5.2,United States,pest control,539,76,"Atlanta, Georgia",United States,Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga",False
Ruan Hongliang & family,5.2,China,glass,539,60,"Jiaxing, China",China,Married,,,True
Teddy Sagi,5.2,Israel,gambling software,539,49,"Tel Aviv, Israel",Israel,In Relationship,6,,True
Neil Shen,5.2,China,venture capital,539,53,"Hong Kong, China",China,Married,,"Bachelor of Arts/Science, Shanghai Jiaotong University; Master of Arts, Yale University",True
David Velez,5.2,Colombia,fintech,539,39,"Sao Paulo, Brazil",Colombia,Married,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Science, Stanford University",True
Wong Man Li,5.2,Hong Kong,furniture,539,56,"Hong Kong, Hong Kong",Hong Kong,Married,2,,True
Robert Bass,5.1,United States,"oil, investments",550,73,"Fort Worth, Texas",United States,Married,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",False
Pierre Chen,5.1,Taiwan,electronics,550,64,"Taipei, Taiwan",Taiwan,Divorced,3,"Bachelor of Arts/Science, National Cheng Kung University",True
Mahendra Choksi & family,5.1,India,paints,550,80,"Mumbai, India",India,Married,2,"Bachelor of Engineering, Bombay University; Master of Science, Bombay University",False
Gustavo Denegri,5.1,Italy,biotech,550,84,"torino, Italy",Italy,Married,2,,True
Reed Hastings,5.1,United States,Netflix,550,60,"Santa Cruz, California",United States,Married,2,"Bachelor of Arts/Science, Bowdoin College; Master of Science, Stanford University",True
Michael Herz,5.1,Germany,coffee,550,77,"Hamburg, Germany",Germany,Married,,,False
Wolfgang Herz,5.1,Germany,coffee,550,70,"Hamburg, Germany",Germany,,,,False
Patrick Lee,5.1,Hong Kong,paper,550,79,"Hong Kong, Hong Kong",Hong Kong,Married,5,,True
Lee Yeow Chor & Yeow Seng,5.1,Malaysia,"palm oil, property",550,,Malaysia,Malaysia,,,,False
Theo Mueller,5.1,Germany,dairy,550,81,"Zurich, Switzerland",Germany,In Relationship,9,,False
Wu Guanjiang & family,5.1,China,pharmaceuticals,550,52,"Chongqing, China",China,Married,,,True
Bernard Broermann,5.0,Germany,hospitals,561,77,"Koenigstein, Germany",Germany,Married,3,"Master of Business Administration, Harvard University",True
Jason Chang,5.0,Singapore,electronics,561,77,"Taipei, Taiwan",Singapore,Married,3,"Bachelor of Arts/Science, National Taiwan University",True
Joshua Harris,5.0,United States,private equity,561,56,"New York, New York",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Vikram Lal & family,5.0,India,motorcycles,561,79,"Delhi, India",India,Married,3,,False
Lin Xiucheng & family,5.0,China,electronics,561,65,"Xiamen, China",China,Married,4,"Bachelor of Arts/Science, Xiamen University",True
Pankaj Patel,5.0,India,pharmaceuticals,561,68,"Ahmedabad, India",India,Married,2,"Bachelor of Arts/Science, Gujarat University; Master of Science, Gujarat University",False
"Enrique Razon, Jr.",5.0,Philippines,ports,561,61,"Manila, Philippines",Philippines,Married,2,,False
"Walter Scott, Jr. & family",5.0,United States,"utilities, telecom",561,89,"Omaha, Nebraska",United States,Widowed,6,"Bachelor of Arts/Science, Colorado State University",True
Charles Simonyi,5.0,United States,Microsoft,561,72,"Medina, Washington",United States,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley",True
Kate Wang,5.0,China,e-cigarettes,561,39,"Beijing, China",China,,,"Master of Business Administration, Columbia Business School; Bachelor of Science, Xi'an Jiaotong University",True
Daniel Ziff,5.0,United States,investments,561,49,"New York, New York",United States,Married,1,"Bachelor of Arts/Science, Columbia University",False
Dirk Ziff,5.0,United States,investments,561,57,"North Palm Beach, Florida",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University",False
Robert Ziff,5.0,United States,investments,561,54,"New York, New York",United States,Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University",False
Stephen Bisciotti,4.9,United States,"staffing, Baltimore Ravens",574,61,"Millersville, Maryland",United States,Married,2,"Bachelor of Arts/Science, Salisbury State University",True
Chen Dongsheng,4.9,China,insurance,574,63,"Beijing, China",China,Married,,,True
Charles B. Johnson,4.9,United States,money management,574,88,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Yale University",False
Marc Ladreit de Lacharriere,4.9,France,finance,574,80,"Paris, France",France,Divorced,4,,True
Joe Lewis,4.9,United Kingdom,investments,574,84,"Albany, Bahamas",United Kingdom,Married,2,,True
Lin Li,4.9,China,investments,574,58,"Shenzhen, China",China,Married,1,"Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology",True
Karen Pritzker,4.9,United States,"hotels, investments",574,63,"Branford, Connecticut",United States,Widowed,4,"Bachelor of Arts/Science, Northwestern University",False
Abdulsamad Rabiu,4.9,Nigeria,"cement, sugar",574,60,"Lagos, Nigeria",Nigeria,Married,,,False
Mark Scheinberg,4.9,Canada,online gambling,574,47,"Isle of Man, United Kingdom",Canada,Single,,"Drop Out, Fanshawe College",True
Howard Schultz,4.9,United States,Starbucks,574,67,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, Northern Michigan University",True
Yasumitsu Shigeta,4.9,Japan,mobile phone retailer,574,56,"Tokyo, Japan",Japan,Married,3,"Drop Out, Nihon University",True
Thomas Siebel,4.9,United States,business software,574,68,"Woodside, California",United States,Married,4,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign; Master of Business Administration, University of Illinois, Urbana-Champaign; Master of Science, University of Illinois, Urbana-Champaign",True
Peter Thiel,4.9,United States,Facebook,574,53,"Los Angeles, California",United States,Single,,"Bachelor of Arts/Science, Stanford University; Doctor of Jurisprudence, Stanford University",True
Chip Wilson,4.9,Canada,Lululemon,574,64,"Vancouver, Canada",Canada,Married,5,"Bachelor of Arts/Science, University of Calgary",True
Zhang Fan,4.9,China,touch screens,574,55,"Shenzhen, China",China,,,,True
Pierre Bellon & family,4.8,France,food services,589,91,"Paris, France",France,Married,4,,False
Richard Branson,4.8,United Kingdom,Virgin,589,70,"Necker Island, British Virgin Islands",United Kingdom,Married,2,"Drop Out, High School",True
Huang Yi,4.8,Hong Kong,car dealerships,589,59,"Beijing, China",Hong Kong,Married,,"Bachelor of Arts/Science, Xiamen University",True
Bidzina Ivanishvili,4.8,Georgia,investments,589,65,"Tbilisi, Georgia",Georgia,Married,4,,True
"Edward Johnson, IV.",4.8,United States,money management,589,56,"Boston, Massachusetts",United States,,,"Bachelor of Arts/Science, Northeastern University",False
Elizabeth Johnson,4.8,United States,money management,589,58,"Boston, Massachusetts",United States,,,"Bachelor of Arts/Science, Franklin Pierce University",False
Ted Lerner & family,4.8,United States,real estate,589,95,"Chevy Chase, Maryland",United States,Married,3,"Associate in Arts/Science, George Washington University; LLB, George Washington University",True
Lin Shu-hong,4.8,Taiwan,petrochemicals,589,92,"Taipei, Taiwan",Taiwan,Married,4,National Taipei University of Technology,True
Yuri Milner,4.8,Israel,tech investments,589,59,"Los Altos, California",Israel,Married,3,"Bachelor of Arts/Science, Moscow State University; Drop Out, University of Pennsylvania, The Wharton School",True
Issad Rebrab & family,4.8,Algeria,food,589,77,"Algiers, Algeria",Algeria,Married,5,,True
Thomas Schmidheiny,4.8,Switzerland,cement,589,75,"Jona, Switzerland",Switzerland,Married,4,"Doctorate, Tufts University; Bachelor of Arts/Science, Zurich Polytechnic",False
Chairul Tanjung,4.8,Indonesia,diversified,589,58,"Jakarta, Indonesia",Indonesia,Married,2,"Medical Doctor, University of Indonesia",True
Alan Trefler,4.8,United States,software,589,65,"Brookline, Massachusetts",United States,Married,,"Associate in Arts/Science, Dartmouth College",True
Radovan Vitek,4.8,Czechia,real estate,589,50,"Crans Montana, Switzerland",Czechia,Married,4,"Law Degree, University of West Bohemia",True
Frank Wang,4.8,China,drones,589,40,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Hong Kong University of Science and Technology; Master of Science, Hong Kong University of Science and Technology",True
Wang Xicheng & family,4.8,China,tires,589,72,"Zhaoyuan, China",China,Married,,,True
Wang Zhendong,4.8,China,education,589,44,"Beijing, China",China,,,"Bachelor of Arts/Science, Peking University",True
"John, Alan & Bruce Wilson",4.8,Australia,retailing,589,,"Melbourne, Australia",Australia,,,,False
M.A. Yusuff Ali,4.8,India,retail,589,65,"Abu Dhabi, United Arab Emirates",India,Married,3,,True
Maria Fernanda Amorim & family,4.7,Portugal,"energy, investments",608,86,"Grijo, Portugal",Portugal,Widowed,3,,False
Dona Bertarelli,4.7,Switzerland,biotech,608,53,"Gstaad, Switzerland",Switzerland,,,,False
Hong Jie,4.7,China,paint,608,53,"Putian, China",China,,,,True
Nathan Kirsh,4.7,Eswatini (Swaziland),"retail, real estate",608,89,"Ezulwini, Eswatini (Swaziland)",Eswatini (Swaziland),Married,3,"Bachelor of Arts/Science, University of Witwatersrand",True
Ken Langone,4.7,United States,investments,608,85,"Sands Point, New York",United States,Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business",True
Michael Pieper,4.7,Switzerland,kitchen appliances,608,75,"Lucerne, Switzerland",Switzerland,Married,2,"Master of Business Administration, St Gallen University",True
Richard Schulze,4.7,United States,Best Buy,608,80,"Bonita Springs, Florida",United States,"Widowed, Remarried",10,"Diploma, High School",True
Eric Smidt,4.7,United States,hardware stores,608,61,"Beverly Hills, California",United States,Married,,,True
Tim Sweeney,4.7,United States,video games,608,50,"Cary, North Carolina",United States,,,,True
Tang Shing-bor,4.7,Hong Kong,real estate,608,87,"Hong Kong, Hong Kong",Hong Kong,Married,5,,True
Oleg Tinkov,4.7,Russia,banking,608,53,"Moscow, Russia",Russia,Married,3,"Diploma, University of California, Berkeley",True
Mark Walter,4.7,United States,finance,608,60,"Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",True
Wong Luen Hei,4.7,China,building materials,608,59,"Hong Kong, Hong Kong",China,Married,,,True
Zhou Bajin,4.7,China,auto parts,608,86,"Changzhou, China",China,,,,True
Patrizio Bertelli,4.6,Italy,luxury goods,622,75,"Milan, Italy",Italy,Married,2,"Master of Business Administration, University of Florence",True
Bert Beveridge,4.6,United States,vodka,622,59,"Austin, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Texas at Austin",True
Martin & Olivier Bouygues,4.6,France,"construction, media",622,,"Paris, France",France,,,,False
Chen Lip Keong,4.6,Malaysia,"casinos, property, energy",622,73,"Phnom Penh, Cambodia",Malaysia,Married,3,"Medical Doctor, University of Malaya",True
Dong Fan,4.6,China,medical devices,622,,"Zhuhai, China",China,,,"Bachelor of Arts/Science, Shanghai University of Finance and Economics; Master of Business Administration, Sun Yat-sen University",True
Daniel Ek,4.6,Sweden,Spotify,622,38,"Stockholm, Sweden",Sweden,Married,2,,True
